Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,14323,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101013,5.05,2,-1.97,-0.17,16402,36.34,275687,3000,827060,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,12.06,------,212102,0.07,3000,3000,8.63,None
,85.101067,5.07,3,-1.34,-0.11,46937,79.85,411159,836.054,343751,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,32.11,------,210607,-0.23,836.05,3000,8.63,None
,85.101059,5.08,4,-1.43,-0.12,50527,90.29,409616,555.242,227436,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,43.59,------,212307,-0.46,555.24,3000,8.63,None
,85.101074,5.09,5,-1.26,-0.11,52264,92.72,410945,544.334,223691,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,45.21,------,213007,-0.46,544.33,3000,8.63,None
,85.101105,5.1,6,-0.9,-0.08,48401,93.74,389521,534.425,208170,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,45.21,------,211607,-0.56,534.43,3000,8.63,None
,85.101097,5.11,7,-0.99,-0.08,52085,90.15,417112,572.211,238676,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,43.38,------,212107,-0.42,572.21,3000,8.63,None
,85.101067,5.12,8,-1.34,-0.11,50282,91.07,411717,530.825,218550,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,46.13,------,211707,-0.5,530.82,3000,8.63,None
,85.101074,5.13,9,-1.26,-0.11,52207,86.11,432221,537.044,232121,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,45.27,------,212907,-0.14,537.04,3000,8.63,None
,85.101067,5.13,10,-1.34,-0.11,52968,90.36,417551,521.826,217889,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,47.15,------,216607,-0.4,521.83,3000,8.63,None
,85.101067,5.14,11,-1.34,-0.11,52511,91.54,425090,523.317,222457,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,47.97,------,211907,-0.16,523.32,3000,8.63,None
,85.101089,5.15,12,-1.08,-0.09,49722,93.23,387583,520.437,201713,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,47.62,------,214307,-0.27,520.44,3000,8.63,None
