Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,13039,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.096359,5.05,2,-94.63,-8.15,912,2.94,202417,3000,607252,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,10.93,------,203902,0.03,3000,3000,8.6,None
,86.096367,5.07,3,-94.54,-8.14,1486,3.6,276023,1149.408,317263,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,23.55,------,205602,-0.26,1149.41,3000,8.6,None
,86.096359,5.09,4,-94.63,-8.15,1367,3.61,268316,822.367,220655,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.09,------,207202,-0.16,822.37,3000,8.6,None
,86.096382,5.1,5,-94.37,-8.13,1386,3.36,288070,837.559,241275,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,32,------,203602,-0.1,837.56,3000,8.6,None
,86.096367,5.12,6,-94.54,-8.14,1338,3.28,286791,785.704,225333,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.39,------,203202,-0.24,785.7,3000,8.6,None
,86.096352,5.13,7,-94.72,-8.16,1556,3.83,280191,784.83,219902,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.72,------,201702,-0.09,784.83,3000,8.6,None
,86.096359,5.14,8,-94.63,-8.15,1462,3.67,274824,799.503,219723,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.93,------,208302,-0.3,799.5,3000,8.6,None
,86.096352,5.16,9,-94.72,-8.16,1541,3.94,270726,813.731,220298,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.81,------,208902,-0.16,813.73,3000,8.6,None
,86.096352,5.17,10,-94.72,-8.16,1653,4.1,279528,821.733,229698,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.73,------,203302,-0.07,821.73,3000,8.6,None
,86.096382,5.18,11,-94.37,-8.13,1579,4.25,261633,798.734,208975,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.14,------,205902,-0.35,798.73,3000,8.6,None
