Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,12048,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104439,5.05,2,-0.8,-0.07,2229,5.8,273372,3000,820115,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,11.6,------,211202,-0.01,3000,3000,8.6,None
,86.104454,5.07,3,-0.62,-0.05,4785,6.62,364494,863.536,314754,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,30.83,------,214202,0.3,863.54,3000,8.6,None
,86.104439,5.08,4,-0.8,-0.07,5513,7,386013,608.593,234925,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,41.13,------,211802,-0.25,608.59,3000,8.6,None
,86.104477,5.09,5,-0.35,-0.03,5582,6.65,403241,573.779,231371,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.52,------,214702,-0.49,573.78,3000,8.6,None
,86.104454,5.1,6,-0.62,-0.05,6206,7.19,406621,548.664,223098,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.58,------,207402,-0.02,548.66,3000,8.6,None
,86.104477,5.11,7,-0.35,-0.03,5064,6.45,371281,544.939,202326,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.65,------,212202,-0.42,544.94,3000,8.6,None
,86.104454,5.12,8,-0.62,-0.05,6246,7.35,397194,594.391,236089,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.17,------,213702,0.24,594.39,3000,8.6,None
,86.104446,5.13,9,-0.71,-0.06,6985,8.04,413743,553.776,229121,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.54,------,211502,-0.23,553.78,3000,8.6,None
,86.104454,5.14,10,-0.62,-0.05,5875,6.78,415211,539.941,224189,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,45.14,------,208902,-0.35,539.94,3000,8.6,None
,86.104462,5.15,11,-0.53,-0.05,5873,6.63,409197,542.95,222174,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.62,------,209402,-0.04,542.95,3000,8.6,None
,86.104469,5.16,12,-0.44,-0.04,5804,6.77,399412,540.109,215726,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,44.79,------,211102,-0.29,540.11,3000,8.6,None
,86.104454,5.17,13,-0.62,-0.05,5917,6.84,412586,548.207,226183,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.94,------,213102,-0.08,548.21,3000,8.6,None
,86.104469,5.18,14,-0.44,-0.04,6008,6.83,405133,538.025,217972,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.93,------,208602,0.12,538.03,3000,8.6,None
,86.104454,5.19,15,-0.62,-0.05,6372,7.44,404561,542.034,219286,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.38,------,212302,-0.41,542.03,3000,8.6,None
,86.104469,5.2,16,-0.44,-0.04,5738,6.21,425809,546.092,232530,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.49,------,209802,0.05,546.09,3000,8.6,None
,86.104462,5.21,17,-0.53,-0.05,6255,7.07,409869,530.514,217441,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.75,------,208202,-0.07,530.51,3000,8.6,None
,86.104477,5.21,18,-0.35,-0.03,5547,6.08,411221,542.019,222890,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.73,------,213802,0,542.02,3000,8.6,None
,86.104469,5.22,19,-0.44,-0.04,5705,6.81,378477,544.138,205944,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.81,------,209002,0.32,544.14,3000,8.6,None
,86.104469,5.23,20,-0.44,-0.04,5909,7.33,382684,587.448,224807,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,42.06,------,210402,-0.2,587.45,3000,8.6,None
,86.104454,5.25,21,-0.62,-0.05,5858,6.67,412468,589.891,243311,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,43.48,------,209002,-0.19,589.89,3000,8.6,None
,86.104462,5.25,22,-0.53,-0.05,5524,6.16,416312,538.395,224140,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.66,------,208402,-0.39,538.39,3000,8.6,None
,86.104477,5.26,23,-0.35,-0.03,5681,6.67,390919,534.493,208943,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.09,------,211702,-0.44,534.49,3000,8.6,None
,86.104477,5.27,24,-0.35,-0.03,5207,6.39,382622,564.887,216138,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.39,------,214202,0.13,564.89,3000,8.6,None
,86.104477,5.28,25,-0.35,-0.03,5904,6.92,386066,578.271,223250,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,43.1,------,210702,-0.21,578.27,3000,8.6,None
,86.104469,5.29,26,-0.44,-0.04,6585,7.29,410043,573.696,235240,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.01,------,209802,0.28,573.7,3000,8.6,None
,86.104462,5.3,27,-0.53,-0.05,5754,6.28,419448,542.919,227726,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,47.27,------,211602,-0.1,542.92,3000,8.6,None
,86.104477,5.31,28,-0.35,-0.03,6023,6.98,386058,527.851,203781,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.79,------,211302,-0.18,527.85,3000,8.6,None
,86.104462,5.32,29,-0.53,-0.05,6417,6.9,425576,573.284,243976,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.97,------,210702,0.48,573.28,3000,8.6,None
,86.104477,5.33,30,-0.35,-0.03,6423,6.86,415890,529.244,220107,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.59,------,211402,-0.25,529.24,3000,8.6,None
,86.104469,5.34,31,-0.44,-0.04,5486,6.26,392951,528.848,207811,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.35,------,209302,0.12,528.85,3000,8.6,None
,86.104446,5.35,32,-0.71,-0.06,6233,6.92,407724,562.967,229535,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.73,------,212502,-0.37,562.97,3000,8.61,None
,86.104446,5.36,33,-0.71,-0.06,6071,6.85,398984,540.509,215655,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.1,------,210602,-0.12,540.51,3000,8.61,None
,86.104431,5.37,34,-0.89,-0.08,6626,7.25,425172,560.672,238382,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.3,------,207702,-0.12,560.67,3000,8.61,None
,86.104446,5.38,35,-0.71,-0.06,5968,6.86,392360,520.155,204088,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.17,------,212402,-0.13,520.16,3000,8.61,None
,86.104431,5.39,36,-0.89,-0.08,6661,7.05,429631,568.324,244170,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.06,------,209202,0.06,568.32,3000,8.61,None
,86.104439,5.4,37,-0.8,-0.07,6577,7.05,422399,517.949,218781,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,48.77,------,214602,-0.6,517.95,3000,8.61,None
,86.104446,5.41,38,-0.71,-0.06,5988,6.18,425830,521.43,222040,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.72,------,211302,-0.24,521.43,3000,8.61,None
,86.104454,5.42,39,-0.62,-0.05,5918,6.72,391418,523.407,204871,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,49.59,------,209302,0.13,523.41,3000,8.61,None
,86.104454,5.43,40,-0.62,-0.05,6560,6.93,423275,570.004,241268,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,43.32,------,209602,-0.52,570,3000,8.61,None
,86.104446,5.44,41,-0.71,-0.06,6160,6.63,413904,527.542,218352,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.84,------,207402,-0.4,527.54,3000,8.61,None
,86.104439,5.45,42,-0.8,-0.07,6010,6.27,425777,529.14,225296,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.34,------,211202,-0.27,529.14,3000,8.61,None
,86.104454,5.46,43,-0.62,-0.05,6019,6.28,431056,518.679,223580,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.59,------,214202,-0.48,518.68,3000,8.61,None
