Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,11770,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104439,5.05,2,-0.8,-0.07,2351,6.15,275300,3000,825900,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,11.44,------,208802,0.13,3000,3000,8.61,None
,86.104469,5.07,3,-0.44,-0.04,5338,6.97,385374,847.803,326721,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,32.69,------,210002,-0.12,847.8,3000,8.61,None
,86.104477,5.08,4,-0.35,-0.03,5594,6.59,409739,581.027,238070,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,44.62,------,211802,-0.01,581.03,3000,8.61,None
,86.104477,5.09,5,-0.35,-0.03,5089,6.39,377370,544.362,205426,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.79,------,209602,-0.09,544.36,3000,8.61,None
,86.104469,5.1,6,-0.44,-0.04,5045,6.17,390013,581.935,226962,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,44.45,------,213502,-0.09,581.94,3000,8.61,None
,86.104462,5.11,7,-0.53,-0.05,6192,6.99,415052,573.086,237860,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.59,------,210202,0.01,573.09,3000,8.61,None
,86.104477,5.12,8,-0.35,-0.03,6140,6.98,411391,535.008,220097,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,46.62,------,212202,-0.35,535.01,3000,8.61,None
,86.104462,5.13,9,-0.53,-0.05,5869,6.6,423561,540.623,228987,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.52,------,208102,-0.09,540.62,3000,8.61,None
,86.104462,5.14,10,-0.53,-0.05,6316,7.29,413905,527.462,218319,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.94,------,208502,-0.34,527.46,3000,8.61,None
