Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,14213,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104431,5.05,2,-0.89,-0.08,1292,3.12,251238,3000,753715,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,11.48,------,208002,0.04,3000,3000,8.61,None
,86.104454,5.07,3,-0.62,-0.05,2679,5.71,328137,930.114,305205,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,29.47,------,206802,0.15,930.11,3000,8.61,None
,86.104485,5.08,4,-0.27,-0.02,2782,5.63,350428,680.24,238375,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,37.22,------,210502,-0.34,680.24,3000,8.61,None
,86.104485,5.09,5,-0.27,-0.02,2840,5.86,339416,640.58,217423,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,39.67,------,211002,-0.17,640.58,3000,8.61,None
,86.104477,5.1,6,-0.35,-0.03,3178,6.31,358113,652.892,233809,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,39.03,------,207802,-0.17,652.89,3000,8.61,None
,86.104492,5.12,7,-0.18,-0.02,2522,5.25,355698,628.466,223544,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,39.75,------,202302,-0.04,628.47,3000,8.61,None
,86.104462,5.13,8,-0.53,-0.05,3476,6.94,359432,630.122,226486,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,38.85,------,209502,-0.36,630.12,3000,8.61,None
,86.104454,5.14,9,-0.62,-0.05,2551,5.14,352550,617.453,217683,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,38.54,------,207202,-0.58,617.45,3000,8.61,None
,86.104462,5.15,10,-0.53,-0.05,3146,6.66,343388,632.146,217072,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,41.15,------,206002,-0.27,632.15,3000,8.61,None
