Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,14073,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101051,5.05,2,-1.52,-0.13,16922,39.01,252884,3000,758652,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,10.78,------,216002,0.02,3000,3000,8.6,None
,85.101105,5.07,3,-0.9,-0.08,39602,79.12,336318,919.708,309314,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,27.86,------,214107,-0.34,919.71,3000,8.6,None
,85.101097,5.08,4,-0.99,-0.08,44725,88.13,349099,672.496,234767,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,37.55,------,216107,-0.24,672.5,3000,8.6,None
,85.101105,5.09,5,-0.9,-0.08,44805,90.5,345196,630.727,217725,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,39.2,------,211507,-0.42,630.73,3000,8.6,None
,85.101112,5.1,6,-0.81,-0.07,45176,93.49,343849,642.049,220768,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,38.42,------,214307,-0.33,642.05,3000,8.6,None
,85.101135,5.11,7,-0.54,-0.05,40998,90.31,321182,647.705,208032,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,39.33,------,212607,-0.11,647.71,3000,8.6,None
,85.101181,5.13,8,0,0,44092,90.33,342932,692.688,237545,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,35.46,------,216707,-0.17,692.69,3000,8.6,None
,85.101105,5.14,9,-0.9,-0.08,45039,94.53,338303,688.308,232857,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,37.17,------,215707,-0.34,688.31,3000,8.6,None
,85.101105,5.15,10,-0.9,-0.08,45082,94.52,331374,656.345,217495,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,38.91,------,213207,-0.1,656.34,3000,8.6,None
,85.101112,5.16,11,-0.81,-0.07,43537,94.56,318887,676.245,215646,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,37.03,------,216507,-0.2,676.24,3000,8.6,None
,85.101097,5.17,12,-0.99,-0.08,48026,90.6,354470,696.617,246930,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,36.72,------,217207,-0.27,696.62,3000,8.6,None
,85.101097,5.18,13,-0.99,-0.08,47551,95.39,354644,620.52,220064,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,40.9,------,217907,0.18,620.52,3000,8.6,None
,85.10112,5.2,14,-0.72,-0.06,48905,97.12,350576,626.058,219481,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,40.94,------,213407,-0.22,626.06,3000,8.6,None
,85.101097,5.21,15,-0.99,-0.08,51660,100,358686,632.117,226731,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,40.07,------,213207,-0.45,632.12,3000,8.6,None
,85.101097,5.22,16,-0.99,-0.08,51276,99.58,357253,617.337,220546,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,40.32,------,218307,-0.5,617.34,3000,8.6,None
,85.101128,5.23,17,-0.63,-0.05,47676,100,329718,614.658,202664,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,40.93,------,211307,-0.48,614.66,3000,8.6,None
,85.101128,5.24,18,-0.63,-0.05,51646,99.18,364328,670.681,244348,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,38.93,------,214607,-0.11,670.68,3000,8.6,None
,85.101097,5.25,19,-0.99,-0.08,53890,100,369273,611.786,225916,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,40.73,------,216007,0.03,611.79,3000,8.6,None
,85.101128,5.26,20,-0.63,-0.05,48174,100,339212,603.98,204877,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,40.06,------,214007,-0.46,603.98,3000,8.6,None
,85.10112,5.27,21,-0.72,-0.06,53227,100,359557,660.856,237616,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,39.76,------,214507,-0.15,660.86,3000,8.6,None
,85.101105,5.28,22,-0.9,-0.08,55435,100,365317,619.983,226490,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,41.35,------,213007,-0.21,619.98,3000,8.6,None
,85.10112,5.29,23,-0.72,-0.06,54503,100,366039,615.915,225449,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,41.14,------,212607,-0.16,615.91,3000,8.6,None
,85.101112,5.31,24,-0.81,-0.07,55552,100,367199,613.312,225208,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,41.33,------,216407,-0.48,613.31,3000,8.6,None
,85.101105,5.32,25,-0.9,-0.08,54991,100,358393,601.569,215598,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,41.75,------,218207,-0.1,601.57,3000,8.6,None
,85.101082,5.33,26,-1.17,-0.1,56797,100,366514,616.376,225910,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,41.29,------,217307,-0.08,616.38,3000,8.6,None
,85.101112,5.34,27,-0.81,-0.07,56590,100,369716,603.702,223199,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,41.16,------,217107,-0.4,603.7,3000,8.6,None
,85.101089,5.35,28,-1.08,-0.09,55806,100,355662,607.029,215897,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,41.07,------,212407,-0.13,607.03,3000,8.61,None
,85.101135,5.36,29,-0.54,-0.05,52278,100,340892,622.061,212056,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,40.97,------,214507,-0.03,622.06,3000,8.61,None
,85.101112,5.37,30,-0.81,-0.07,57007,100,363971,648.038,235867,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,38.05,------,217907,-0.15,648.04,3000,8.61,None
,85.101143,5.38,31,-0.45,-0.04,53611,100,347634,608.047,211377,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,38.66,------,211507,-0.29,608.05,3000,8.61,None
,85.101151,5.39,32,-0.36,-0.03,53216,100,342652,647.333,221810,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,39.38,------,215907,-0.23,647.33,3000,8.61,None
,85.10112,5.4,33,-0.72,-0.06,56077,100,357407,636.913,227638,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,38.16,------,214107,-0.07,636.91,3000,8.61,None
,85.101158,5.41,34,-0.27,-0.02,54299,100,344119,620.647,213576,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,39.83,------,210907,-0.15,620.65,3000,8.61,None
