Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,13544,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104439,5.05,2,-0.8,-0.07,3960,7.86,327360,3000,982081,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,12.16,------,214902,0.01,3000,3000,8.6,None
,86.104462,5.07,3,-0.53,-0.05,10808,6.9,537327,712.93,383077,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,38.93,------,213702,-0.14,712.93,3000,8.6,None
,86.104462,5.07,4,-0.53,-0.05,11266,6.61,566993,414.332,234923,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,62.09,------,215302,-0.6,414.33,3000,8.6,None
,86.104439,5.08,5,-0.8,-0.07,11299,6.6,567590,388.11,220287,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,67.38,------,210502,0,388.11,3000,8.6,None
,86.104477,5.09,6,-0.35,-0.03,11308,6.46,569198,384.506,218860,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,65.52,------,214402,-0.04,384.51,3000,8.6,None
,86.104469,5.09,7,-0.44,-0.04,12556,7.22,577031,385.938,222698,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.79,------,213202,0.39,385.94,3000,8.6,None
,86.104477,5.1,8,-0.35,-0.03,10435,6.52,533349,378.857,202063,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,65.15,------,208202,0.28,378.86,3000,8.6,None
,86.104454,5.11,9,-0.62,-0.05,11323,6.76,549760,413.982,227591,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.51,------,213702,-0.61,413.98,3000,8.6,None
,86.104462,5.12,10,-0.53,-0.05,10618,6.6,527562,399.855,210948,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.91,------,209502,-0.73,399.86,3000,8.6,None
,86.104416,5.12,11,-1.06,-0.09,10766,6.57,550791,414.802,228469,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,59.01,------,210002,-0.11,414.8,3000,8.6,None
,86.104462,5.13,12,-0.53,-0.05,10336,6.29,539826,395.522,213513,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,61.93,------,213702,0.01,395.52,3000,8.6,None
,86.104439,5.14,13,-0.8,-0.07,13207,7.51,576708,408.084,235345,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.1,------,211002,-0.28,408.08,3000,8.6,None
,86.104431,5.14,14,-0.89,-0.08,12323,6.84,585665,378.874,221893,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.7,------,214602,-0.42,378.87,3000,8.6,None
,86.104462,5.15,15,-0.53,-0.05,11586,6.89,534104,372.982,199211,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,67.36,------,216202,-0.09,372.98,3000,8.6,None
,86.104431,5.16,16,-0.89,-0.08,10550,6.02,569044,414.253,235728,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,60.61,------,213502,-0.05,414.25,3000,8.6,None
,86.104431,5.17,17,-0.89,-0.08,11394,6.24,587940,388.459,228390,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.84,------,212902,0.18,388.46,3000,8.6,None
,86.104439,5.17,18,-0.8,-0.07,10764,6.24,549083,376.471,206714,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.02,------,214202,-0.87,376.47,3000,8.63,None
,86.104446,5.18,19,-0.71,-0.06,11525,6.38,584788,395.739,231423,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.92,------,214602,-0.16,395.74,3000,8.63,None
,86.104454,5.19,20,-0.62,-0.05,10957,6.48,540969,377.955,204462,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.81,------,215202,-0.14,377.95,3000,8.63,None
,86.104424,5.19,21,-0.97,-0.08,11844,6.71,581585,409.798,238333,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.14,------,213702,-0.23,409.8,3000,8.63,None
,86.104462,5.2,22,-0.53,-0.05,11343,6.31,582390,378.506,220438,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.19,------,213702,0.35,378.51,3000,8.63,None
,86.104446,5.21,23,-0.71,-0.06,12532,6.86,584643,375.619,219603,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,68.81,------,208602,0.25,375.62,3000,8.63,None
,86.104462,5.21,24,-0.53,-0.05,11227,6.58,549404,373.201,205038,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,70.13,------,214202,0.96,373.2,3000,8.63,None
,86.104439,5.22,25,-0.8,-0.07,13313,7.47,580351,398.026,230995,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.19,------,212302,-0.07,398.03,3000,8.63,None
,86.104439,5.23,26,-0.8,-0.07,12402,6.73,585050,376.615,220338,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,69.87,------,212502,0.11,376.61,3000,8.63,None
,86.104462,5.24,27,-0.53,-0.05,12545,6.86,600156,368.617,221227,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,70.31,------,213902,0.43,368.62,3000,8.63,None
,86.104462,5.24,28,-0.53,-0.05,13178,7.2,595142,367.609,218780,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.84,------,213002,0.58,367.61,3000,8.63,None
,86.104469,5.25,29,-0.44,-0.04,12424,6.73,602398,370.303,223070,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.49,------,214502,-0.06,370.3,3000,8.63,None
,86.104462,5.26,30,-0.53,-0.05,12504,6.55,596550,366.492,218631,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69,------,211902,-0.02,366.49,3000,8.63,None
,86.104439,5.26,31,-0.8,-0.07,11991,6.51,588868,367.672,216510,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,71.9,------,209902,0.28,367.67,3000,8.63,None
,86.104454,5.27,32,-0.62,-0.05,12186,6.47,598141,366.953,219489,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,65.88,------,210802,-0.77,366.95,3000,8.63,None
