Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,12805,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104477,5.05,2,-0.35,-0.03,2599,6.1,294586,3000,883757,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,11.74,------,212802,-0.08,3000,3000,8.6,None
,86.104492,5.07,3,-0.18,-0.02,7558,6.81,512673,795.505,407834,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,36.12,------,209502,-0.1,795.51,3000,8.6,None
,86.104507,5.07,4,0,0,8393,6.38,565263,434.055,245355,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,59.21,------,211202,-0.01,434.05,3000,8.6,None
,86.104485,5.08,5,-0.27,-0.02,8620,6.46,554867,388.442,215534,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,63.86,------,209702,-0.19,388.44,3000,8.6,None
,86.104515,5.09,6,0.09,0.01,7709,6.24,506218,395.641,200280,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,66.46,------,208102,0.28,395.64,3000,8.6,None
,86.104477,5.1,7,-0.35,-0.03,9131,6.95,555797,429.075,238478,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.05,------,212602,-0.26,429.07,3000,8.6,None
,86.104477,5.1,8,-0.35,-0.03,8348,6.38,541518,389.383,210858,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,63.39,------,206202,-0.83,389.38,3000,8.6,None
,86.1045,5.11,9,-0.09,-0.01,8621,6.88,521918,401.568,209586,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.05,------,209302,-0.53,401.57,3000,8.6,None
,86.104485,5.12,10,-0.27,-0.02,8559,6.85,513356,420.619,215927,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,59.31,------,210202,-0.61,420.62,3000,8.6,None
,86.104469,5.13,11,-0.44,-0.04,10150,7.28,573185,426.416,244415,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,59.15,------,209202,-0.32,426.42,3000,8.6,None
,86.1045,5.13,12,-0.09,-0.01,7907,6.09,542477,381.534,206973,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.26,------,209602,-0.3,381.53,3000,8.6,None
,86.104477,5.14,13,-0.35,-0.03,9167,6.92,551151,395.652,218064,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,63.86,------,211502,0.34,395.65,3000,8.6,None
,86.104492,5.15,14,-0.18,-0.02,8665,6.25,573709,393.025,225482,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.27,------,208802,0.28,393.02,3000,8.6,None
,86.104492,5.15,15,-0.18,-0.02,9201,6.64,570120,381.952,217758,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,67.74,------,210802,0.07,381.95,3000,8.6,None
,86.104492,5.16,16,-0.18,-0.02,9479,6.84,572413,385,220379,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,68.48,------,212202,-0.64,385,3000,8.6,None
,86.1045,5.17,17,-0.09,-0.01,8995,6.42,579447,383.767,222373,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.68,------,215102,0.03,383.77,3000,8.6,None
,86.104507,5.17,18,0,0,9466,7.42,525135,379.203,199132,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,67.43,------,212902,-0.04,379.2,3000,8.6,None
,86.104507,5.18,19,0,0,9628,6.78,569755,412.795,235192,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,60.96,------,212902,-0.04,412.8,3000,8.6,None
,86.104485,5.19,20,-0.27,-0.02,8378,5.88,575905,384.678,221538,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,63.55,------,211502,-0.34,384.68,3000,8.6,None
,86.104477,5.2,21,-0.35,-0.03,9462,6.88,561025,381.987,214304,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,65.43,------,211402,-0.15,381.99,3000,8.6,None
,86.104462,5.2,22,-0.53,-0.05,10223,7.49,555388,391.253,217297,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.33,------,210002,-0.01,391.25,3000,8.6,None
,86.104485,5.21,23,-0.27,-0.02,9776,6.87,579049,388.453,224933,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,64.92,------,214102,-0.58,388.45,3000,8.6,None
,86.104477,5.22,24,-0.35,-0.03,9900,6.91,590930,379.412,224206,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.41,------,210102,0.36,379.41,3000,8.6,None
,86.104469,5.22,25,-0.44,-0.04,9850,6.79,592683,373.952,221635,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,68.87,------,213802,-0.38,373.95,3000,8.6,None
,86.104477,5.23,26,-0.35,-0.03,9244,6.51,575253,367.97,211676,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,69.1,------,210702,0.22,367.97,3000,8.6,None
,86.104469,5.24,27,-0.44,-0.04,9136,6.53,562213,378.516,212807,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.53,------,213102,-0.53,378.52,3000,8.6,None
,86.104454,5.24,28,-0.62,-0.05,8732,6.57,545241,389.343,212286,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,63.49,------,211602,-0.69,389.34,3000,8.6,None
,86.104469,5.25,29,-0.44,-0.04,10229,7.21,581357,396.424,230464,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,63.47,------,209902,-0.57,396.42,3000,8.6,None
,86.104477,5.26,30,-0.35,-0.03,9720,6.74,574483,379.579,218062,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.87,------,209202,0.08,379.58,3000,8.6,None
,86.104485,5.26,31,-0.27,-0.02,9427,6.5,586593,374.529,219696,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.54,------,213202,0.09,374.53,3000,8.6,None
,86.104477,5.27,32,-0.35,-0.03,9495,6.84,565430,377.979,213721,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,67.59,------,207302,-0.39,377.98,3000,8.6,None
,86.104515,5.28,33,0.09,0.01,9129,6.85,541507,378.604,205017,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,65.49,------,211902,-0.03,378.6,3000,8.6,None
,86.1045,5.29,34,-0.09,-0.01,8895,6.55,539448,407.653,219908,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,62.55,------,212602,-0.03,407.65,3000,8.6,None
,86.104492,5.29,35,-0.18,-0.02,9984,6.89,578775,401.091,232142,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,62.85,------,208702,-0.11,401.09,3000,8.6,None
,86.104492,5.3,36,-0.18,-0.02,8820,6.3,563437,380.491,214383,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,65.31,------,212102,-0.45,380.49,3000,8.6,None
,86.104477,5.31,37,-0.35,-0.03,10612,7.19,590686,388.992,229772,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.5,------,213902,0.29,388.99,3000,8.6,None
,86.104462,5.31,38,-0.53,-0.05,9161,6.2,583188,370.206,215899,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,67.26,------,210802,-0.59,370.21,3000,8.6,None
,86.104462,5.32,39,-0.53,-0.05,9883,6.92,567745,373.563,212088,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,66.4,------,209802,-0.25,373.56,3000,8.6,None
,86.1045,5.33,40,-0.09,-0.01,9410,6.65,553427,381.924,211367,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.91,------,211502,-0.21,381.92,3000,8.6,None
,86.104477,5.33,41,-0.35,-0.03,9634,6.86,564174,396.861,223899,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.79,------,211502,-0.56,396.86,3000,8.6,None
,86.104477,5.34,42,-0.35,-0.03,8612,6.3,546538,386.721,211358,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,62.06,------,212202,-0.72,386.72,3000,8.61,None
,86.104462,5.35,43,-0.53,-0.05,9998,6.79,589226,400.718,236114,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,64.96,------,209102,0.39,400.72,3000,8.61,None
,86.104477,5.36,44,-0.35,-0.03,8249,6.12,537340,369.176,198373,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.48,------,211402,0.15,369.18,3000,8.61,None
,86.104446,5.36,45,-0.71,-0.06,9914,6.63,601498,405.972,244191,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,61.6,------,209302,0.03,405.97,3000,8.61,None
,86.104477,5.37,46,-0.35,-0.03,9807,6.48,590500,365.904,216066,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,71.22,------,210502,-0.16,365.9,3000,8.61,None
,86.104454,5.38,47,-0.62,-0.05,9929,6.69,596146,369.266,220137,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,68.12,------,211802,0.27,369.27,3000,8.61,None
,86.104469,5.38,48,-0.44,-0.04,9631,6.49,588652,363.501,213976,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.41,------,207002,-0.21,363.5,3000,8.61,None
,86.104454,5.39,49,-0.62,-0.05,9570,6.42,585295,363.511,212761,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,69.87,------,213302,-0.68,363.51,3000,8.61,None
,86.104462,5.4,50,-0.53,-0.05,9897,6.57,595624,372.69,221983,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,71.75,------,208902,-0.03,372.69,3000,8.61,None
,86.104477,5.4,51,-0.35,-0.03,9544,6.77,557348,366.807,204439,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,68.08,------,212002,-0.11,366.81,3000,8.61,None
,86.104439,5.41,52,-0.8,-0.07,9692,6.83,573239,395.577,226760,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,65.79,------,211702,-0.3,395.58,3000,8.61,None
,86.104462,5.42,53,-0.53,-0.05,9551,6.62,561777,382.36,214801,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,64.17,------,211602,-0.54,382.36,3000,8.61,None
,86.104439,5.42,54,-0.8,-0.07,9390,6.33,596154,390.5,232798,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,66.98,------,212502,0.69,390.5,3000,8.61,None
,86.104454,5.43,55,-0.62,-0.05,9629,6.73,570612,364.106,207764,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,70.18,------,212702,-0.44,364.11,3000,8.61,None
,86.104469,5.44,56,-0.44,-0.04,8471,6.04,548775,374.629,205587,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,70.41,------,208302,0.46,374.63,3000,8.61,None
,86.104462,5.44,57,-0.53,-0.05,10519,7.04,593383,398.536,236484,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,62.7,------,213302,-0.29,398.54,3000,8.61,None
,86.104469,5.45,58,-0.44,-0.04,10298,7.26,560766,370.047,207510,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,69.58,------,207302,-0.42,370.05,3000,8.61,None
