Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,14213,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101021,5.05,2,-1.88,-0.16,16857,40.66,251238,3000,753715,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,11.3,------,214802,0.05,3000,3000,8.61,None
,85.101089,5.07,3,-1.08,-0.09,38951,83.1,328137,930.114,305205,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,29.17,------,212007,0.09,930.11,3000,8.61,None
,85.10112,5.08,4,-0.72,-0.06,44283,89.6,350428,680.24,238375,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,37.12,------,212207,-0.29,680.24,3000,8.61,None
,85.101112,5.09,5,-0.81,-0.07,41512,85.59,339416,640.58,217423,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,39.24,------,214807,-0.21,640.58,3000,8.61,None
,85.101112,5.1,6,-0.81,-0.07,44024,87.45,358113,652.892,233809,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,38.89,------,215107,-0.18,652.89,3000,8.61,None
,85.101128,5.12,7,-0.63,-0.05,45939,95.66,355698,628.466,223544,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,39.43,------,217507,-0.12,628.47,3000,8.61,None
,85.101089,5.13,8,-1.08,-0.09,44518,88.91,359432,630.122,226486,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,38.76,------,217907,-0.35,630.12,3000,8.61,None
,85.101097,5.14,9,-0.99,-0.08,45047,90.84,352550,617.453,217683,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,38.57,------,212907,-0.57,617.45,3000,8.61,None
,85.101097,5.15,10,-0.99,-0.08,43525,92.1,343388,632.146,217072,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,40.81,------,211107,-0.23,632.15,3000,8.61,None
,85.101097,5.16,11,-0.99,-0.08,46058,93.79,349987,647.482,226610,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,38.53,------,215007,-0.13,647.48,3000,8.61,None
,85.101105,5.17,12,-0.9,-0.08,45908,91.87,357133,640.769,228839,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,37.78,------,214607,-0.65,640.77,3000,8.59,None
,85.101151,5.18,13,-0.36,-0.03,41018,91.75,329430,636.933,209825,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,37.91,------,215407,-0.37,636.93,3000,8.59,None
