Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,12048,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101082,5.05,2,-1.17,-0.1,31010,80.67,273372,3000,820115,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,11.45,------,212807,-0.01,3000,3000,8.6,None
,85.101089,5.07,3,-1.08,-0.09,72287,100,364494,863.536,314754,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,30.54,------,215307,0.18,863.54,3000,8.6,None
,85.101089,5.08,4,-1.08,-0.09,78781,100,386013,608.593,234925,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,40.79,------,213607,-0.2,608.59,3000,8.6,None
,85.10112,5.09,5,-0.72,-0.06,83952,100,403241,573.779,231371,0,,120000,800,,0,0,0,6,0,0,2.12E+08,0,0,45.12,------,213607,-0.35,573.78,3000,8.6,None
,85.101105,5.1,6,-0.9,-0.08,86326,100,406621,548.664,223098,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,45.33,------,213607,-0.11,548.66,3000,8.6,None
,85.10112,5.11,7,-0.72,-0.06,78494,100,371281,544.939,202326,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,45.37,------,212407,-0.46,544.94,3000,8.6,None
,85.101089,5.12,8,-1.08,-0.09,84952,100,397194,594.391,236089,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,44.5,------,217107,0.18,594.39,3000,8.6,None
,85.101082,5.13,9,-1.17,-0.1,86853,100,413743,553.776,229121,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,46.34,------,214407,-0.26,553.78,3000,8.6,None
,85.101097,5.14,10,-0.99,-0.08,86639,100,415211,539.941,224189,0,,120000,800,,0,0,0,14,0,0,2.12E+08,0,0,44.95,------,213907,-0.4,539.94,3000,8.6,None
,85.101112,5.15,11,-0.81,-0.07,88632,100,409197,542.95,222174,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,45.32,------,212107,-0.13,542.95,3000,8.6,None
,85.101105,5.16,12,-0.9,-0.08,85788,100,399412,540.109,215726,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,44.51,------,215007,-0.39,540.11,3000,8.6,None
,85.101089,5.17,13,-1.08,-0.09,86490,100,412586,548.207,226183,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,46.27,------,214207,-0.11,548.21,3000,8.6,None
,85.10112,5.18,14,-0.72,-0.06,88013,100,405133,538.025,217972,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,48.34,------,217707,0.02,538.03,3000,8.6,None
,85.101097,5.19,15,-0.99,-0.08,85624,100,404561,542.034,219286,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,45,------,217907,-0.41,542.03,3000,8.6,None
,85.101105,5.2,16,-0.9,-0.08,92451,100,425809,546.092,232530,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,47.05,------,216807,-0.05,546.09,3000,8.6,None
,85.10112,5.21,17,-0.72,-0.06,88439,100,409869,530.514,217441,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,46.52,------,211807,-0.13,530.51,3000,8.6,None
,85.101128,5.21,18,-0.63,-0.05,91209,100,411221,542.019,222890,0,,120000,800,,0,0,0,15,0,0,2.12E+08,0,0,45.56,------,217507,-0.07,542.02,3000,8.6,None
,85.101112,5.22,19,-0.81,-0.07,83828,100,378477,544.138,205944,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,47.15,------,214007,0.22,544.14,3000,8.6,None
,85.10112,5.23,20,-0.72,-0.06,80660,100,382684,587.448,224807,0,,120000,800,,0,0,0,15,0,0,2.12E+08,0,0,42.03,------,217707,-0.31,587.45,3000,8.6,None
,85.101105,5.25,21,-0.9,-0.08,87832,100,412468,589.891,243311,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,43.28,------,215107,-0.14,589.89,3000,8.6,None
,85.101105,5.25,22,-0.9,-0.08,89751,100,416312,538.395,224140,0,,120000,800,,0,0,0,14,0,0,2.12E+08,0,0,48.31,------,215907,-0.34,538.39,3000,8.6,None
,85.10112,5.26,23,-0.72,-0.06,85123,100,390919,534.493,208943,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,44.9,------,215207,-0.45,534.49,3000,8.6,None
,85.10112,5.27,24,-0.72,-0.06,81539,100,382622,564.887,216138,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,44.95,------,218607,0.04,564.89,3000,8.6,None
,85.101128,5.28,25,-0.63,-0.05,85384,100,386066,578.271,223250,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,42.85,------,217607,-0.26,578.27,3000,8.6,None
,85.101105,5.29,26,-0.9,-0.08,90275,100,410043,573.696,235240,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,44.57,------,215107,0.19,573.7,3000,8.6,None
,85.101105,5.3,27,-0.9,-0.08,91620,100,419448,542.919,227726,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,46.97,------,214707,-0.21,542.92,3000,8.6,None
,85.101128,5.31,28,-0.63,-0.05,86268,100,386058,527.851,203781,0,,120000,800,,0,0,0,8,0,0,2.12E+08,0,0,45.7,------,215607,-0.22,527.85,3000,8.6,None
,85.101105,5.32,29,-0.9,-0.08,93034,100,425576,573.284,243976,0,,120000,800,,0,0,0,15,0,0,2.12E+08,0,0,46.3,------,217907,0.35,573.28,3000,8.6,None
,85.101112,5.33,30,-0.81,-0.07,93630,100,415890,529.244,220107,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,46.52,------,214907,-0.28,529.24,3000,8.6,None
,85.101128,5.34,31,-0.63,-0.05,87653,100,392951,528.848,207811,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,47.01,------,219107,-0.01,528.85,3000,8.6,None
,85.101089,5.35,32,-1.08,-0.09,90043,100,407724,562.967,229535,0,,120000,800,,0,0,0,14,0,0,2.12E+08,0,0,45.57,------,214707,-0.36,562.97,3000,8.61,None
,85.101097,5.36,33,-0.99,-0.08,88584,100,398984,540.509,215655,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,47.55,------,215407,-0.16,540.51,3000,8.61,None
,85.101074,5.37,34,-1.26,-0.11,91375,100,425172,560.672,238382,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,44.86,------,212807,-0.17,560.67,3000,8.61,None
,85.101097,5.38,35,-0.99,-0.08,86940,100,392360,520.155,204088,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,46.77,------,218907,-0.22,520.16,3000,8.61,None
,85.101074,5.39,36,-1.26,-0.11,94482,100,429631,568.324,244170,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,45.6,------,215807,0,568.32,3000,8.61,None
,85.101074,5.4,37,-1.26,-0.11,93245,100,422399,517.949,218781,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,48.45,------,214707,-0.55,517.95,3000,8.61,None
,85.101097,5.41,38,-0.99,-0.08,96909,100,425830,521.43,222040,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,48.39,------,218407,-0.33,521.43,3000,8.61,None
,85.101112,5.42,39,-0.81,-0.07,88060,100,391418,523.407,204871,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,48.85,------,219007,0.03,523.41,3000,8.61,None
,85.101105,5.43,40,-0.9,-0.08,94617,100,423275,570.004,241268,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,42.89,------,213007,-0.54,570,3000,8.61,None
,85.101082,5.44,41,-1.17,-0.1,92966,100,413904,527.542,218352,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,46.64,------,212507,-0.35,527.54,3000,8.61,None
,85.101082,5.45,42,-1.17,-0.1,95874,100,425777,529.14,225296,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,48.26,------,218107,-0.27,529.14,3000,8.61,None
,85.101097,5.46,43,-0.99,-0.08,95828,100,431056,518.679,223580,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,47.2,------,215707,-0.44,518.68,3000,8.61,None
,85.101135,5.47,44,-0.54,-0.05,91456,100,401066,510.329,204676,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,48.67,------,212307,-0.21,510.33,3000,8.61,None
,85.10112,5.48,45,-0.72,-0.06,93372,100,427067,552.522,235964,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,44.98,------,215307,-0.43,552.52,3000,8.61,None
,85.10112,5.48,46,-0.72,-0.06,99025,100,442435,527.541,233403,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,46.75,------,215107,-0.38,527.54,3000,8.61,None
,85.101143,5.49,47,-0.45,-0.04,97062,100,433651,510.156,221229,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,48.22,------,212007,-0.59,510.16,3000,8.61,None
,85.10112,5.5,48,-0.72,-0.06,94405,100,423680,512.554,217159,0,,120000,800,,0,0,0,7,0,0,2.12E+08,0,0,49.2,------,215507,-0.6,512.55,3000,8.61,None
