Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,13854,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101051,5.06,2,-1.52,-0.13,1888,5.14,250409,3000,751227,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,11.78,------,203002,0,3000,3000,8.6,None
,85.101105,5.07,3,-0.9,-0.08,4312,10.13,312632,943.377,294929,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,28.6,------,204102,-0.19,943.38,3000,8.6,None
,85.10112,5.09,4,-0.72,-0.06,4749,11.17,310280,729.839,226454,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,33.68,------,206702,-0.32,729.84,3000,8.6,None
,85.10112,5.1,5,-0.72,-0.06,4796,11.45,308627,732.752,226147,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,34.28,------,206602,-0.4,732.75,3000,8.6,None
,85.101082,5.11,6,-1.17,-0.1,4210,10.65,301976,734.741,221874,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,34.9,------,204802,-0.23,734.74,3000,8.6,None
,85.101074,5.13,7,-1.26,-0.11,4194,9.65,314454,745.258,234349,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,33.33,------,210402,-0.18,745.26,3000,8.6,None
,85.101097,5.14,8,-0.99,-0.08,3970,10.07,286987,722.323,207297,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,33.43,------,207802,-0.23,722.32,3000,8.6,None
,85.101074,5.15,9,-1.26,-0.11,3924,9.3,309432,789.976,244444,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,32.5,------,205302,-0.2,789.98,3000,8.6,None
,85.101105,5.16,10,-0.9,-0.08,4285,11.63,280619,731.028,205140,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,35.54,------,207102,-0.04,731.03,3000,8.6,None
